,wl,h2o_0,h2o_1,h2o_2,h2o_3,h2o_4,h2o_5,h2o_6,h2o_7,h2o_8,h2o_9,h2o_10
39,289.0,0.9994745,0.9994745,0.9994745,0.9994745,0.9994745,0.9994745,0.9994745,0.9994745,0.9994745,0.9994745,0.9994745
40,290.0,0.9994256,0.9994256,0.9994256,0.9994256,0.9994256,0.9994256,0.9994256,0.9994256,0.9994256,0.9994256,0.9994256
41,291.0,0.9994065,0.9994065,0.9994065,0.9994065,0.9994065,0.9994065,0.9994065,0.9994065,0.9994065,0.9994065,0.9994065
42,292.0,0.9993518,0.9993518,0.9993518,0.9993518,0.9993518,0.9993518,0.9993518,0.9993518,0.9993518,0.9993518,0.9993518
43,293.0,0.999358,0.999358,0.999358,0.999358,0.999358,0.999358,0.999358,0.999358,0.999358,0.999358,0.999358
44,294.0,0.9993812,0.9993812,0.9993812,0.9993812,0.9993812,0.9993812,0.9993812,0.9993812,0.9993812,0.9993812,0.9993812
45,295.0,0.9992997,0.9992997,0.9992997,0.9992997,0.9992997,0.9992997,0.9992997,0.9992997,0.9992997,0.9992997,0.9992997
46,296.0,0.9993373,0.9993373,0.9993373,0.9993373,0.9993373,0.9993373,0.9993373,0.9993373,0.9993373,0.9993373,0.9993373
47,297.0,0.9991943,0.9991943,0.9991943,0.9991943,0.9991943,0.9991943,0.9991943,0.9991943,0.9991943,0.9991943,0.9991943
48,298.0,0.9991822,0.9991822,0.9991822,0.9991822,0.9991822,0.9991822,0.9991822,0.9991822,0.9991822,0.9991822,0.9991822
49,299.0,0.9991949,0.9991949,0.9991949,0.9991949,0.9991949,0.9991949,0.9991949,0.9991949,0.9991949,0.9991949,0.9991949
50,300.0,0.9991766,0.9991766,0.9991766,0.9991766,0.9991766,0.9991766,0.9991766,0.9991766,0.9991766,0.9991766,0.9991766
51,301.0,0.9991937,0.9991937,0.9991937,0.9991937,0.9991937,0.9991937,0.9991937,0.9991937,0.9991937,0.9991937,0.9991937
52,302.0,0.9990727,0.9990727,0.9990727,0.9990727,0.9990727,0.9990727,0.9990727,0.9990727,0.9990727,0.9990727,0.9990727
53,303.0,0.9989923,0.9989923,0.9989923,0.9989923,0.9989923,0.9989923,0.9989923,0.9989923,0.9989923,0.9989923,0.9989923
54,304.0,0.9989952,0.9989952,0.9989952,0.9989952,0.9989952,0.9989952,0.9989952,0.9989952,0.9989952,0.9989952,0.9989952
55,305.0,0.9989473,0.9989473,0.9989473,0.9989473,0.9989473,0.9989473,0.9989473,0.9989473,0.9989473,0.9989473,0.9989473
56,306.0,0.9989941,0.9989941,0.9989941,0.9989941,0.9989941,0.9989941,0.9989941,0.9989941,0.9989941,0.9989941,0.9989941
57,307.0,0.9988858,0.9988858,0.9988858,0.9988858,0.9988858,0.9988858,0.9988858,0.9988858,0.9988858,0.9988858,0.9988858
58,308.0,0.9989334,0.9989334,0.9989334,0.9989334,0.9989334,0.9989334,0.9989334,0.9989334,0.9989334,0.9989334,0.9989334
59,309.0,0.9987717,0.9987717,0.9987717,0.9987717,0.9987717,0.9987717,0.9987717,0.9987717,0.9987717,0.9987717,0.9987717
60,310.0,0.9988106,0.9988106,0.9988106,0.9988106,0.9988106,0.9988106,0.9988106,0.9988106,0.9988106,0.9988106,0.9988106
61,311.0,0.9987382,0.9987382,0.9987382,0.9987382,0.9987382,0.9987382,0.9987382,0.9987382,0.9987382,0.9987382,0.9987382
62,312.0,0.9987127,0.9987127,0.9987127,0.9987127,0.9987127,0.9987127,0.9987127,0.9987127,0.9987127,0.9987127,0.9987127
63,313.0,0.9986311,0.9986311,0.9986311,0.9986311,0.9986311,0.9986311,0.9986311,0.9986311,0.9986311,0.9986311,0.9986311
64,314.0,0.9986814,0.9986814,0.9986814,0.9986814,0.9986814,0.9986814,0.9986814,0.9986814,0.9986814,0.9986814,0.9986814
65,315.0,0.9985076,0.9985076,0.9985076,0.9985076,0.9985076,0.9985076,0.9985076,0.9985076,0.9985076,0.9985076,0.9985076
66,316.0,0.9985808,0.9985808,0.9985808,0.9985808,0.9985808,0.9985808,0.9985808,0.9985808,0.9985808,0.9985808,0.9985808
67,317.0,0.9984949,0.9984949,0.9984949,0.9984949,0.9984949,0.9984949,0.9984949,0.9984949,0.9984949,0.9984949,0.9984949
68,318.0,0.9983457,0.9983457,0.9983457,0.9983457,0.9983457,0.9983457,0.9983457,0.9983457,0.9983457,0.9983457,0.9983457
69,319.0,0.998436,0.998436,0.998436,0.998436,0.998436,0.998436,0.998436,0.998436,0.998436,0.998436,0.998436
70,320.0,0.998273,0.998273,0.998273,0.998273,0.998273,0.998273,0.998273,0.998273,0.998273,0.998273,0.998273
71,321.0,0.9983358,0.9983358,0.9983358,0.9983358,0.9983358,0.9983358,0.9983358,0.9983358,0.9983358,0.9983358,0.9983358
72,322.0,0.998274,0.998274,0.998274,0.998274,0.998274,0.998274,0.998274,0.998274,0.998274,0.998274,0.998274
73,323.0,0.9981737,0.9981737,0.9981737,0.9981737,0.9981737,0.9981737,0.9981737,0.9981737,0.9981737,0.9981737,0.9981737
74,324.0,0.9982293,0.9982293,0.9982293,0.9982293,0.9982293,0.9982293,0.9982293,0.9982293,0.9982293,0.9982293,0.9982293
75,325.0,0.9980762,0.9980762,0.9980762,0.9980762,0.9980762,0.9980762,0.9980762,0.9980762,0.9980762,0.9980762,0.9980762
76,326.0,0.9980453,0.9980453,0.9980453,0.9980453,0.9980453,0.9980453,0.9980453,0.9980453,0.9980453,0.9980453,0.9980453
77,327.0,0.998044,0.998044,0.998044,0.998044,0.998044,0.998044,0.998044,0.998044,0.998044,0.998044,0.998044
78,328.0,0.9979514,0.9979514,0.9979514,0.9979514,0.9979514,0.9979514,0.9979514,0.9979514,0.9979514,0.9979514,0.9979514
79,329.0,0.9979634,0.9979634,0.9979634,0.9979634,0.9979634,0.9979634,0.9979634,0.9979634,0.9979634,0.9979634,0.9979634
80,330.0,0.9978245,0.9978245,0.9978245,0.9978245,0.9978245,0.9978245,0.9978245,0.9978245,0.9978245,0.9978245,0.9978245
81,331.0,0.9979019,0.9979019,0.9979019,0.9979019,0.9979019,0.9979019,0.9979019,0.9979019,0.9979019,0.9979019,0.9979019
82,332.0,0.9978849,0.9978849,0.9978849,0.9978849,0.9978849,0.9978849,0.9978849,0.9978849,0.9978849,0.9978849,0.9978849
83,333.0,0.9974052,0.9974052,0.9974052,0.9974052,0.9974052,0.9974052,0.9974052,0.9974052,0.9974052,0.9974052,0.9974052
84,334.0,0.9978085,0.9978085,0.9978085,0.9978085,0.9978085,0.9978085,0.9978085,0.9978085,0.9978085,0.9978085,0.9978085
85,335.0,0.9975429,0.9975429,0.9975429,0.9975429,0.9975429,0.9975429,0.9975429,0.9975429,0.9975429,0.9975429,0.9975429
86,336.0,0.9976679,0.9976679,0.9976679,0.9976679,0.9976679,0.9976679,0.9976679,0.9976679,0.9976679,0.9976679,0.9976679
87,337.0,0.9975917,0.9975917,0.9975917,0.9975917,0.9975917,0.9975917,0.9975917,0.9975917,0.9975917,0.9975917,0.9975917
88,338.0,0.9976794,0.9976794,0.9976794,0.9976794,0.9976794,0.9976794,0.9976794,0.9976794,0.9976794,0.9976794,0.9976794
89,339.0,0.9971512,0.9971512,0.9971512,0.9971512,0.9971512,0.9971512,0.9971512,0.9971512,0.9971512,0.9971512,0.9971512
90,340.0,0.997228,0.997228,0.997228,0.997228,0.997228,0.997228,0.997228,0.997228,0.997228,0.997228,0.997228
91,341.0,0.9966958,0.9966958,0.9966958,0.9966958,0.9966958,0.9966958,0.9966958,0.9966958,0.9966958,0.9966958,0.9966958
92,342.0,0.9964115,0.9964115,0.9964115,0.9964115,0.9964115,0.9964115,0.9964115,0.9964115,0.9964115,0.9964115,0.9964115
93,343.0,0.9963964,0.9963964,0.9963964,0.9963964,0.9963964,0.9963964,0.9963964,0.9963964,0.9963964,0.9963964,0.9963964
94,344.0,0.9961673,0.9961673,0.9961673,0.9961673,0.9961673,0.9961673,0.9961673,0.9961673,0.9961673,0.9961673,0.9961673
95,345.0,0.9964407,0.9964407,0.9964407,0.9964407,0.9964407,0.9964407,0.9964407,0.9964407,0.9964407,0.9964407,0.9964407
96,346.0,0.9966853,0.9966853,0.9966853,0.9966853,0.9966853,0.9966853,0.9966853,0.9966853,0.9966853,0.9966853,0.9966853
97,347.0,0.9968586,0.9968586,0.9968586,0.9968586,0.9968586,0.9968586,0.9968586,0.9968586,0.9968586,0.9968586,0.9968586
98,348.0,0.996926,0.996926,0.996926,0.996926,0.996926,0.996926,0.996926,0.996926,0.996926,0.996926,0.996926
99,349.0,0.9968332,0.9968332,0.9968332,0.9968332,0.9968332,0.9968332,0.9968332,0.9968332,0.9968332,0.9968332,0.9968332
100,350.0,0.9972774,0.9972774,0.9972774,0.9972774,0.9972774,0.9972774,0.9972774,0.9972774,0.9972774,0.9972774,0.9972774
101,351.0,0.9968982,0.9968982,0.9968982,0.9968982,0.9968982,0.9968982,0.9968982,0.9968982,0.9968982,0.9968982,0.9968982
102,352.0,0.9971009,0.9971009,0.9971009,0.9971009,0.9971009,0.9971009,0.9971009,0.9971009,0.9971009,0.9971009,0.9971009
103,353.0,0.997309,0.997309,0.997309,0.997309,0.997309,0.997309,0.997309,0.997309,0.997309,0.997309,0.997309
104,354.0,0.9966019,0.9966019,0.9966019,0.9966019,0.9966019,0.9966019,0.9966019,0.9966019,0.9966019,0.9966019,0.9966019
105,355.0,0.9963998,0.9963998,0.9963998,0.9963998,0.9963998,0.9963998,0.9963998,0.9963998,0.9963998,0.9963998,0.9963998
106,356.0,0.9965275,0.9965275,0.9965275,0.9965275,0.9965275,0.9965275,0.9965275,0.9965275,0.9965275,0.9965275,0.9965275
107,357.0,0.9952794,0.9952794,0.9952794,0.9952794,0.9952794,0.9952794,0.9952794,0.9952794,0.9952794,0.9952794,0.9952794
108,358.0,0.9945755,0.9945755,0.9945755,0.9945755,0.9945755,0.9945755,0.9945755,0.9945755,0.9945755,0.9945755,0.9945755
109,359.0,0.9937901,0.9937901,0.9937901,0.9937901,0.9937901,0.9937901,0.9937901,0.9937901,0.9937901,0.9937901,0.9937901
110,360.0,0.9929248,0.9929248,0.9929248,0.9929248,0.9929248,0.9929248,0.9929248,0.9929248,0.9929248,0.9929248,0.9929248
111,361.0,0.9923733,0.9923733,0.9923733,0.9923733,0.9923733,0.9923733,0.9923733,0.9923733,0.9923733,0.9923733,0.9923733
112,362.0,0.993552,0.993552,0.993552,0.993552,0.993552,0.993552,0.993552,0.993552,0.993552,0.993552,0.993552
113,363.0,0.9946832,0.9946832,0.9946832,0.9946832,0.9946832,0.9946832,0.9946832,0.9946832,0.9946832,0.9946832,0.9946832
114,364.0,0.9957508,0.9957508,0.9957508,0.9957508,0.9957508,0.9957508,0.9957508,0.9957508,0.9957508,0.9957508,0.9957508
115,365.0,0.9957103,0.9957103,0.9957103,0.9957103,0.9957103,0.9957103,0.9957103,0.9957103,0.9957103,0.9957103,0.9957103
116,366.0,0.9962505,0.9962505,0.9962505,0.9962505,0.9962505,0.9962505,0.9962505,0.9962505,0.9962505,0.9962505,0.9962505
117,367.0,0.9964189,0.9964189,0.9964189,0.9964189,0.9964189,0.9964189,0.9964189,0.9964189,0.9964189,0.9964189,0.9964189
118,368.0,0.9963287,0.9963287,0.9963287,0.9963287,0.9963287,0.9963287,0.9963287,0.9963287,0.9963287,0.9963287,0.9963287
119,369.0,0.9964803,0.9964803,0.9964803,0.9964803,0.9964803,0.9964803,0.9964803,0.9964803,0.9964803,0.9964803,0.9964803
120,370.0,0.9964064,0.9964064,0.9964064,0.9964064,0.9964064,0.9964064,0.9964064,0.9964064,0.9964064,0.9964064,0.9964064
121,371.0,0.996635,0.996635,0.996635,0.996635,0.996635,0.996635,0.996635,0.996635,0.996635,0.996635,0.996635
122,372.0,0.9959176,0.9959176,0.9959176,0.9959176,0.9959176,0.9959176,0.9959176,0.9959176,0.9959176,0.9959176,0.9959176
123,373.0,0.9962435,0.9962435,0.9962435,0.9962435,0.9962435,0.9962435,0.9962435,0.9962435,0.9962435,0.9962435,0.9962435
124,374.0,0.9963144,0.9963144,0.9963144,0.9963144,0.9963144,0.9963144,0.9963144,0.9963144,0.9963144,0.9963144,0.9963144
125,375.0,0.996429,0.996429,0.996429,0.996429,0.996429,0.996429,0.996429,0.996429,0.996429,0.996429,0.996429
126,376.0,0.9956845,0.9956845,0.9956845,0.9956845,0.9956845,0.9956845,0.9956845,0.9956845,0.9956845,0.9956845,0.9956845
127,377.0,0.9955526,0.9955526,0.9955526,0.9955526,0.9955526,0.9955526,0.9955526,0.9955526,0.9955526,0.9955526,0.9955526
128,378.0,0.9953156,0.9953156,0.9953156,0.9953156,0.9953156,0.9953156,0.9953156,0.9953156,0.9953156,0.9953156,0.9953156
129,379.0,0.994394,0.994394,0.994394,0.994394,0.994394,0.994394,0.994394,0.994394,0.994394,0.994394,0.994394
130,380.0,0.9933597,0.9933597,0.9933597,0.9933597,0.9933597,0.9933597,0.9933597,0.9933597,0.9933597,0.9933597,0.9933597
131,381.0,0.9937279,0.9937279,0.9937279,0.9937279,0.9937279,0.9937279,0.9937279,0.9937279,0.9937279,0.9937279,0.9937279
132,382.0,0.9945926,0.9945926,0.9945926,0.9945926,0.9945926,0.9945926,0.9945926,0.9945926,0.9945926,0.9945926,0.9945926
133,383.0,0.995572,0.995572,0.995572,0.995572,0.995572,0.995572,0.995572,0.995572,0.995572,0.995572,0.995572
134,384.0,0.9956679,0.9956679,0.9956679,0.9956679,0.9956679,0.9956679,0.9956679,0.9956679,0.9956679,0.9956679,0.9956679
135,385.0,0.9959006,0.9959006,0.9959006,0.9959006,0.9959006,0.9959006,0.9959006,0.9959006,0.9959006,0.9959006,0.9959006
136,386.0,0.9960815,0.9960815,0.9960815,0.9960815,0.9960815,0.9960815,0.9960815,0.9960815,0.9960815,0.9960815,0.9960815
137,387.0,0.9960308,0.9960308,0.9960308,0.9960308,0.9960308,0.9960308,0.9960308,0.9960308,0.9960308,0.9960308,0.9960308
138,388.0,0.9959373,0.9959373,0.9959373,0.9959373,0.9959373,0.9959373,0.9959373,0.9959373,0.9959373,0.9959373,0.9959373
139,389.0,0.9959155,0.9959155,0.9959155,0.9959155,0.9959155,0.9959155,0.9959155,0.9959155,0.9959155,0.9959155,0.9959155
140,390.0,0.9959043,0.9959043,0.9959043,0.9959043,0.9959043,0.9959043,0.9959043,0.9959043,0.9959043,0.9959043,0.9959043
141,391.0,0.9960001,0.9960001,0.9960001,0.9960001,0.9960001,0.9960001,0.9960001,0.9960001,0.9960001,0.9960001,0.9960001
142,392.0,0.9955099,0.9955099,0.9955099,0.9955099,0.9955099,0.9955099,0.9955099,0.9955099,0.9955099,0.9955099,0.9955099
143,393.0,0.9962194,0.9962194,0.9962194,0.9962194,0.9962194,0.9962194,0.9962194,0.9962194,0.9962194,0.9962194,0.9962194
144,394.0,0.9962252,0.9962252,0.9962252,0.9962252,0.9962252,0.9962252,0.9962252,0.9962252,0.9962252,0.9962252,0.9962252
145,395.0,0.9961326,0.9961326,0.9961326,0.9961326,0.9961326,0.9961326,0.9961326,0.9961326,0.9961326,0.9961326,0.9961326
146,396.0,0.9958979,0.9958979,0.9958979,0.9958979,0.9958979,0.9958979,0.9958979,0.9958979,0.9958979,0.9958979,0.9958979
147,397.0,0.996261,0.99626,0.996259,0.996258,0.9962569,0.996256,0.996255,0.996254,0.996253,0.9962519,0.9962509
148,398.0,0.9955651,0.9955649,0.9955648,0.9955645,0.9955643,0.9955643,0.995564,0.9955639,0.9955637,0.9955636,0.9955634
149,399.0,0.9960836,0.996083,0.9960822,0.9960816,0.9960809,0.9960802,0.9960796,0.9960788,0.9960781,0.9960775,0.9960767
150,400.0,0.9954521,0.9954518,0.9954516,0.9954515,0.9954513,0.995451,0.9954509,0.9954507,0.9954506,0.9954503,0.9954501
151,401.0,0.995594,0.995594,0.9955939,0.9955939,0.9955939,0.9955939,0.9955939,0.9955939,0.9955938,0.9955938,0.9955938
152,402.0,0.9961115,0.9961115,0.9961115,0.9961115,0.9961115,0.9961115,0.9961115,0.9961115,0.9961115,0.9961115,0.9961115
153,403.0,0.9964142,0.9964142,0.9964142,0.9964142,0.9964142,0.9964142,0.9964142,0.9964142,0.9964142,0.9964142,0.9964142
154,404.0,0.9958318,0.9958318,0.9958318,0.9958318,0.9958318,0.9958318,0.9958318,0.9958318,0.9958318,0.9958318,0.9958318
155,405.0,0.9956523,0.9956523,0.9956523,0.9956523,0.9956523,0.9956523,0.9956523,0.9956523,0.9956523,0.9956523,0.9956523
156,406.0,0.9962355,0.9962355,0.9962355,0.9962355,0.9962355,0.9962355,0.9962355,0.9962355,0.9962355,0.9962355,0.9962355
157,407.0,0.9967349,0.9967349,0.9967349,0.9967349,0.9967349,0.9967349,0.9967349,0.9967349,0.9967349,0.9967349,0.9967349
158,408.0,0.9960538,0.9960538,0.9960538,0.9960538,0.9960538,0.9960538,0.9960538,0.9960538,0.9960538,0.9960538,0.9960538
159,409.0,0.9957184,0.9957184,0.9957184,0.9957184,0.9957184,0.9957184,0.9957184,0.9957184,0.9957184,0.9957184,0.9957184
160,410.0,0.9959904,0.9959904,0.9959904,0.9959904,0.9959904,0.9959904,0.9959904,0.9959904,0.9959904,0.9959904,0.9959904
161,411.0,0.9959029,0.9959029,0.9959029,0.9959029,0.9959029,0.9959029,0.9959029,0.9959029,0.9959029,0.9959029,0.9959029
162,412.0,0.9964516,0.9964516,0.9964516,0.9964516,0.9964516,0.9964516,0.9964516,0.9964516,0.9964516,0.9964516,0.9964516
163,413.0,0.9957243,0.9957243,0.9957243,0.9957243,0.9957243,0.9957243,0.9957243,0.9957243,0.9957243,0.9957243,0.9957243
164,414.0,0.9960284,0.9960284,0.9960284,0.9960284,0.9960284,0.9960284,0.9960284,0.9960284,0.9960284,0.9960284,0.9960284
165,415.0,0.996096,0.9960954,0.9960949,0.9960943,0.9960938,0.9960931,0.9960926,0.996092,0.9960914,0.9960909,0.9960903
166,416.0,0.9967458,0.9967456,0.9967455,0.9967453,0.9967452,0.996745,0.996745,0.9967448,0.9967447,0.9967445,0.9967444
167,417.0,0.9966746,0.9966742,0.996674,0.9966738,0.9966735,0.9966732,0.9966729,0.9966727,0.9966724,0.9966721,0.9966719
168,418.0,0.9963277,0.9963276,0.9963276,0.9963276,0.9963275,0.9963275,0.9963273,0.9963272,0.9963272,0.9963272,0.9963271
169,419.0,0.9964302,0.9964299,0.9964294,0.9964291,0.9964287,0.9964283,0.996428,0.9964277,0.9964271,0.9964268,0.9964265
170,420.0,0.996079,0.996079,0.996079,0.996079,0.996079,0.996079,0.9960788,0.9960788,0.9960788,0.9960788,0.9960788
171,421.0,0.9960316,0.9960316,0.9960316,0.9960316,0.9960316,0.9960316,0.9960316,0.9960316,0.9960316,0.9960316,0.9960316
172,422.0,0.9959283,0.9959282,0.9959282,0.9959282,0.9959282,0.9959282,0.9959282,0.995928,0.995928,0.9959279,0.9959279
173,423.0,0.9962206,0.9962206,0.9962206,0.9962206,0.9962206,0.9962206,0.9962206,0.9962206,0.9962206,0.9962206,0.9962206
174,424.0,0.995851,0.995851,0.995851,0.995851,0.995851,0.995851,0.995851,0.995851,0.995851,0.995851,0.995851
175,425.0,0.9963939,0.9963939,0.9963939,0.9963939,0.9963939,0.9963939,0.9963939,0.9963939,0.9963939,0.9963939,0.9963939
176,426.0,0.9969658,0.9969652,0.9969649,0.9969642,0.9969638,0.9969633,0.9969628,0.9969623,0.9969618,0.9969614,0.9969609
177,427.0,0.9964504,0.9964504,0.9964504,0.9964504,0.9964504,0.9964504,0.9964504,0.9964504,0.9964504,0.9964504,0.9964504
178,428.0,0.9959641,0.9959641,0.9959641,0.9959641,0.9959641,0.9959641,0.9959641,0.9959641,0.9959641,0.9959641,0.9959641
179,429.0,0.996774,0.9967738,0.9967737,0.9967736,0.9967735,0.9967734,0.9967731,0.9967731,0.996773,0.9967728,0.9967726
180,430.0,0.9967757,0.9967757,0.9967757,0.9967757,0.9967757,0.9967757,0.9967757,0.9967757,0.9967757,0.9967757,0.9967757
181,431.0,0.9959277,0.9959277,0.9959277,0.9959277,0.9959277,0.9959277,0.9959277,0.9959277,0.9959277,0.9959277,0.9959277
182,432.0,0.9967827,0.9967827,0.9967827,0.9967827,0.9967827,0.9967827,0.9967827,0.9967827,0.9967827,0.9967827,0.9967827
183,433.0,0.9966527,0.9966527,0.9966527,0.9966527,0.9966527,0.9966527,0.9966527,0.9966527,0.9966527,0.9966527,0.9966527
184,434.0,0.996204,0.996204,0.996204,0.996204,0.996204,0.996204,0.996204,0.996204,0.996204,0.996204,0.996204
185,435.0,0.9952736,0.9952736,0.9952736,0.9952736,0.9952736,0.9952736,0.9952736,0.9952736,0.9952736,0.9952736,0.9952736
186,436.0,0.9961972,0.9961972,0.9961972,0.9961972,0.9961972,0.9961972,0.9961972,0.9961972,0.9961972,0.9961972,0.9961972
187,437.0,0.997224,0.997224,0.997224,0.997224,0.997224,0.997224,0.997224,0.997224,0.997224,0.997224,0.997224
188,438.0,0.9974683,0.9974683,0.9974683,0.9974683,0.9974683,0.9974683,0.9974683,0.9974683,0.9974683,0.9974683,0.9974683
189,439.0,0.9954855,0.9954855,0.9954855,0.9954855,0.9954855,0.9954855,0.9954855,0.9954854,0.9954854,0.9954854,0.9954854
190,440.0,0.9962536,0.9962534,0.9962531,0.9962528,0.9962526,0.9962524,0.9962521,0.9962518,0.9962516,0.9962514,0.9962512
191,441.0,0.9971611,0.9971609,0.9971607,0.9971604,0.9971602,0.9971599,0.9971597,0.9971595,0.9971592,0.997159,0.9971587
192,442.0,0.9975339,0.9975229,0.9975119,0.9975008,0.9974898,0.9974787,0.9974677,0.9974565,0.9974453,0.9974341,0.9974229
193,443.0,0.9970634,0.9970345,0.9970056,0.9969767,0.9969478,0.9969187,0.9968895,0.9968604,0.9968312,0.9968019,0.9967726
194,444.0,0.9963165,0.9963146,0.9963127,0.9963109,0.9963089,0.9963071,0.9963052,0.9963032,0.9963013,0.9962994,0.9962974
